"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2024","9.26","8.89","9.26","8.83","168.47M","4.16%"
"12/01/2023","8.89","8.98","9.08","8.88","190.42M","-1.00%"
"11/01/2023","8.98","9.00","9.17","8.96","140.76M","-0.44%"
"10/01/2023","9.02","8.79","9.03","8.69","205.67M","2.62%"
"09/01/2023","8.79","9.15","9.20","8.79","177.63M","-3.51%"
"08/01/2023","9.11","9.01","9.15","8.85","211.04M","1.00%"
"07/01/2023","9.02","8.65","9.06","8.65","159.34M","4.52%"
"06/01/2023","8.63","8.60","8.79","8.55","135.27M","-0.23%"
"05/01/2023","8.65","8.66","8.78","8.55","182.32M","-0.12%"
"04/01/2023","8.66","8.57","8.73","8.55","97.93M","1.05%"
"03/01/2023","8.57","8.80","8.81","8.26","178.91M","-2.61%"
"02/01/2023","8.80","8.85","8.85","8.60","145.82M","0.69%"
"01/01/2023","8.74","8.67","8.87","8.64","157.41M","0.46%"