Date,Price,Open,High,Low,Vol.,Change %
12/29/2023,8.89,8.91,8.98,8.89,18.46M,-0.22%
12/28/2023,8.91,8.92,8.93,8.89,10.36M,0.11%
12/27/2023,8.9,8.9,8.92,8.89,9.11M,0.11%
12/26/2023,8.89,8.89,8.93,8.89,4.45M,0.00%
12/22/2023,8.89,8.9,8.91,8.88,9.50M,0.00%
12/21/2023,8.89,8.97,8.98,8.88,14.90M,-0.89%
12/20/2023,8.97,9,9.01,8.95,10.54M,-0.11%
12/19/2023,8.98,9.02,9.03,8.97,8.84M,-0.22%
12/18/2023,9,9,9.04,8.99,14.45M,0.00%
12/15/2023,9,9.05,9.07,9,12.96M,-0.55%
12/14/2023,9.05,9.06,9.08,9.04,12.19M,-0.22%
12/13/2023,9.07,9.08,9.08,9.06,17.27M,0.00%
12/12/2023,9.07,9.06,9.08,9.05,10.43M,0.22%
12/11/2023,9.05,9.04,9.06,9.03,3.54M,0.11%
12/8/2023,9.04,9.01,9.07,8.99,3.68M,0.33%
12/7/2023,9.01,9,9.03,8.98,5.58M,0.11%
12/6/2023,9,9.01,9.04,8.99,9.13M,-0.11%
12/5/2023,9.01,9.02,9.03,8.98,6.05M,0.11%
12/4/2023,9,9,9.04,9,3.43M,0.00%
12/1/2023,9,8.98,9.05,8.98,5.53M,0.22%
11/30/2023,8.98,9.03,9.04,8.96,17.50M,-0.66%
11/29/2023,9.04,9.05,9.09,9.02,5.29M,-0.11%
11/28/2023,9.05,9.06,9.13,9.04,7.02M,-0.11%
11/27/2023,9.06,9.09,9.1,9.06,2.30M,-0.33%
11/24/2023,9.09,9.09,9.12,9.08,6.45M,0.00%
11/23/2023,9.09,9.1,9.13,9.08,10.78M,-0.11%
11/22/2023,9.1,9.11,9.12,9.08,5.59M,-0.11%
11/21/2023,9.11,9.12,9.14,9.09,7.81M,0.00%
11/20/2023,9.11,9.12,9.12,9.09,3.00M,-0.11%
11/17/2023,9.12,9.14,9.16,9.11,8.25M,-0.22%
11/16/2023,9.14,9.14,9.15,9.09,9.22M,0.00%
11/15/2023,9.14,9.13,9.16,9.11,12.28M,0.33%
11/14/2023,9.11,9.08,9.13,9.06,2.88M,0.33%
11/10/2023,9.08,9.11,9.12,9.03,2.55M,-0.44%
11/9/2023,9.12,9.11,9.12,9.1,3.32M,0.00%
11/8/2023,9.12,9.15,9.15,9.11,2.56M,-0.33%
11/7/2023,9.15,9.12,9.17,9.11,7.97M,0.44%
11/6/2023,9.11,9.04,9.12,9.03,9.29M,0.77%
11/3/2023,9.04,9.04,9.06,9.03,8.99M,0.22%
11/2/2023,9.02,9,9.04,8.99,4.64M,0.00%
11/1/2023,9.02,9,9.02,8.99,3.07M,0.00%
10/31/2023,9.02,8.99,9.02,8.98,8.00M,0.33%
10/30/2023,8.99,9,9.01,8.97,6.33M,-0.11%
10/27/2023,9,9,9.02,8.99,9.62M,0.00%
10/26/2023,9,8.99,9.01,8.99,10.19M,0.00%
10/25/2023,9,8.97,9.02,8.97,3.30M,0.45%
10/24/2023,8.96,8.99,8.99,8.95,6.26M,-0.33%
10/23/2023,8.99,8.99,9.03,8.96,8.60M,0.00%
10/20/2023,8.99,8.95,9,8.94,5.70M,0.33%
10/19/2023,8.96,9,9,8.94,8.42M,0.11%
10/18/2023,8.95,9,9,8.94,7.19M,-0.56%
10/17/2023,9,8.95,9.03,8.95,14.49M,0.22%
10/16/2023,8.98,8.98,8.99,8.91,7.58M,0.00%
10/13/2023,8.98,8.99,8.99,8.95,4.00M,-0.11%
10/12/2023,8.99,8.93,9,8.93,8.99M,1.01%
10/11/2023,8.9,8.89,8.92,8.87,5.38M,0.11%
10/10/2023,8.89,8.82,8.89,8.82,10.12M,1.02%
10/9/2023,8.8,8.77,8.81,8.77,5.25M,0.34%
10/6/2023,8.77,8.76,8.79,8.73,17.33M,0.11%
10/5/2023,8.76,8.73,8.77,8.71,21.74M,0.34%
10/4/2023,8.73,8.76,8.78,8.69,19.38M,-0.46%
10/3/2023,8.77,8.75,8.78,8.74,9.77M,0.23%
10/2/2023,8.75,8.79,8.83,8.75,8.04M,-0.46%
09/29/2023,8.79,8.88,8.88,8.79,9.70M,-1.01%
09/27/2023,8.88,8.87,8.93,8.85,8.61M,0.11%
09/26/2023,8.87,8.86,8.88,8.85,11.44M,0.00%
09/25/2023,8.87,8.88,8.9,8.85,7.75M,-0.11%
09/22/2023,8.88,8.86,8.9,8.86,7.87M,-0.22%
09/21/2023,8.9,8.86,8.9,8.86,10.16M,0.45%
09/20/2023,8.86,8.9,8.91,8.86,8.61M,-0.56%
09/19/2023,8.91,8.93,8.93,8.88,3.12M,-0.22%
09/18/2023,8.93,8.91,8.93,8.85,3.58M,0.22%
09/15/2023,8.91,8.85,8.92,8.84,16.97M,0.79%
09/14/2023,8.84,8.88,8.92,8.81,12.04M,-3.07%
09/13/2023,9.12,9.14,9.15,9.1,8.47M,-0.22%
9/12/2023,9.14,9.16,9.16,9.13,13.36M,-0.22%
9/11/2023,9.16,9.15,9.16,9.14,8.61M,0.22%
9/8/2023,9.14,9.19,9.19,9.12,6.97M,-0.33%
9/7/2023,9.17,9.17,9.2,9.17,7.71M,-0.11%
9/6/2023,9.18,9.13,9.18,9.13,5.75M,0.55%
9/5/2023,9.13,9.16,9.16,9.1,8.69M,-0.22%
9/4/2023,9.15,9.15,9.16,9.13,7.51M,0.00%
9/1/2023,9.15,9.15,9.17,9.11,10.69M,0.44%
08/30/2023,9.11,9.09,9.15,9.09,20.04M,0.22%
08/29/2023,9.09,9,9.09,9,9.76M,1.00%
08/28/2023,9,9,9.02,8.99,4.89M,-0.22%
08/25/2023,9.02,9,9.02,8.97,6.90M,0.11%
08/24/2023,9.01,9,9.02,8.97,9.48M,0.22%
08/23/2023,8.99,9,9.01,8.98,9.94M,-0.22%
08/22/2023,9.01,8.99,9.04,8.98,9.31M,0.22%
08/21/2023,8.99,9,9.01,8.96,8.04M,-0.11%
08/18/2023,9,8.97,9.01,8.96,14.58M,0.33%
08/17/2023,8.97,9,9.03,8.95,9.01M,-0.66%
08/16/2023,9.03,9.03,9.05,9.01,8.92M,0.00%
08/15/2023,9.03,9,9.05,9,6.83M,0.33%
08/14/2023,9,9.02,9.02,8.97,6.46M,-0.22%
8/11/2023,9.02,9,9.02,8.94,11.96M,0.22%
8/10/2023,9,8.99,9,8.93,13.83M,0.00%
8/9/2023,9,8.95,9,8.92,13.76M,0.33%
8/8/2023,8.97,8.94,9,8.92,12.85M,0.56%
8/7/2023,8.92,8.91,8.97,8.9,4.55M,0.11%
8/4/2023,8.91,8.9,9,8.89,9.11M,0.11%
8/3/2023,8.9,8.93,8.94,8.85,6.08M,-0.56%
8/2/2023,8.95,8.99,8.99,8.92,7.72M,-0.44%
8/1/2023,8.99,9.01,9.06,8.96,7.02M,-0.33%
07/31/2023,9.02,9,9.06,8.99,13.72M,0.33%
07/28/2023,8.99,8.99,9,8.96,6.83M,0.00%
07/27/2023,8.99,9,9.06,8.98,11.11M,-0.11%
07/26/2023,9,8.98,9.02,8.96,12.65M,0.22%
07/25/2023,8.98,8.92,9.04,8.92,16.47M,0.67%
07/24/2023,8.92,8.78,8.93,8.78,6.34M,1.59%
07/21/2023,8.78,8.8,8.81,8.77,6.20M,-0.23%
07/20/2023,8.8,8.85,8.85,8.79,9.03M,-0.23%
07/18/2023,8.82,8.85,8.85,8.79,6.52M,-0.34%
07/17/2023,8.85,8.8,8.85,8.79,8.71M,0.57%
07/14/2023,8.8,8.73,8.83,8.73,16.09M,0.80%
07/13/2023,8.73,8.75,8.78,8.73,5.24M,-0.23%
7/12/2023,8.75,8.74,8.76,8.71,4.73M,0.11%
7/11/2023,8.74,8.66,8.74,8.66,6.33M,0.81%
7/10/2023,8.67,8.67,8.7,8.66,4.18M,0.00%
7/7/2023,8.67,8.73,8.73,8.67,4.28M,-0.69%
7/6/2023,8.73,8.72,8.73,8.69,8.45M,0.34%
7/5/2023,8.7,8.67,8.73,8.67,3.85M,0.00%
7/4/2023,8.7,8.75,8.75,8.69,4.20M,-0.57%
7/3/2023,8.75,8.65,8.78,8.65,4.42M,1.39%
06/30/2023,8.63,8.73,8.74,8.6,11.02M,-1.15%
06/28/2023,8.73,8.72,8.78,8.71,6.42M,0.23%
06/27/2023,8.71,8.73,8.74,8.69,5.55M,0.11%
06/26/2023,8.7,8.74,8.75,8.68,5.31M,-0.46%
06/23/2023,8.74,8.75,8.75,8.72,5.71M,-0.11%
06/22/2023,8.75,8.73,8.79,8.73,8.58M,0.11%
06/21/2023,8.74,8.65,8.75,8.63,4.74M,1.04%
06/20/2023,8.65,8.65,8.65,8.61,6.68M,0.00%
06/19/2023,8.65,8.57,8.65,8.56,3.26M,0.93%
06/16/2023,8.57,8.62,8.62,8.57,22.04M,-0.35%
06/15/2023,8.6,8.6,8.63,8.58,3.85M,0.00%
06/14/2023,8.6,8.63,8.65,8.59,4.71M,-0.23%
06/13/2023,8.62,8.62,8.65,8.61,4.02M,-0.12%
6/12/2023,8.63,8.62,8.66,8.6,5.13M,0.12%
6/9/2023,8.62,8.61,8.65,8.59,3.18M,0.23%
6/8/2023,8.6,8.6,8.6,8.57,4.98M,0.23%
6/7/2023,8.58,8.6,8.6,8.56,5.69M,0.00%
6/6/2023,8.58,8.57,8.63,8.55,7.84M,0.00%
6/2/2023,8.58,8.6,8.62,8.55,7.85M,-0.23%
6/1/2023,8.6,8.6,8.65,8.59,8.70M,-0.58%
05/31/2023,8.65,8.61,8.65,8.58,59.73M,0.70%
05/30/2023,8.59,8.62,8.65,8.58,8.27M,-0.12%
05/29/2023,8.6,8.59,8.62,8.58,6.15M,0.23%
05/26/2023,8.58,8.57,8.61,8.56,5.32M,0.23%
05/25/2023,8.56,8.58,8.62,8.56,9.15M,0.00%
05/24/2023,8.56,8.6,8.6,8.55,8.13M,-0.58%
05/23/2023,8.61,8.6,8.69,8.55,8.26M,0.35%
05/22/2023,8.58,8.71,8.74,8.58,11.62M,-2.28%
05/19/2023,8.78,8.75,8.78,8.71,4.84M,0.23%
05/18/2023,8.76,8.73,8.76,8.7,3.69M,0.57%
05/17/2023,8.71,8.7,8.75,8.69,4.05M,-0.23%
05/16/2023,8.73,8.69,8.75,8.69,3.24M,0.46%
05/15/2023,8.69,8.69,8.74,8.65,3.84M,0.00%
5/12/2023,8.69,8.74,8.78,8.66,8.07M,-0.57%
5/11/2023,8.74,8.7,8.75,8.7,9.12M,0.46%
5/10/2023,8.7,8.75,8.75,8.69,3.55M,-0.57%
5/9/2023,8.75,8.73,8.75,8.72,4.39M,-0.11%
5/8/2023,8.76,8.74,8.76,8.7,2.84M,0.11%
5/5/2023,8.75,8.72,8.75,8.69,8.27M,0.34%
5/3/2023,8.72,8.69,8.73,8.63,6.17M,0.46%
5/2/2023,8.68,8.66,8.7,8.65,3.61M,0.23%
04/28/2023,8.66,8.7,8.7,8.62,8.18M,-0.46%
04/27/2023,8.7,8.65,8.7,8.62,8.02M,1.05%
04/26/2023,8.61,8.65,8.65,8.55,6.90M,-0.46%
04/25/2023,8.65,8.71,8.71,8.62,4.37M,-0.57%
04/20/2023,8.7,8.7,8.7,8.66,1.97M,0.12%
04/19/2023,8.69,8.72,8.72,8.68,7.34M,-0.11%
04/18/2023,8.7,8.71,8.71,8.65,4.31M,0.00%
04/17/2023,8.7,8.71,8.72,8.67,5.44M,-0.11%
04/14/2023,8.71,8.71,8.73,8.69,5.18M,0.00%
04/13/2023,8.71,8.7,8.72,8.68,9.68M,0.11%
4/12/2023,8.7,8.73,8.73,8.66,6.23M,-0.34%
4/11/2023,8.73,8.66,8.73,8.65,6.30M,0.92%
4/10/2023,8.65,8.66,8.7,8.64,4.62M,-0.12%
4/7/2023,8.66,8.65,8.67,8.63,1.68M,0.12%
4/6/2023,8.65,8.65,8.66,8.59,6.29M,-0.12%
4/5/2023,8.66,8.66,8.66,8.62,3.80M,0.00%
4/4/2023,8.66,8.67,8.67,8.61,4.20M,-0.12%
4/3/2023,8.67,8.57,8.67,8.57,3.42M,1.17%
03/31/2023,8.57,8.63,8.64,8.56,5.98M,-0.70%
03/30/2023,8.63,8.57,8.63,8.54,4.79M,0.82%
03/29/2023,8.56,8.5,8.57,8.49,6.33M,0.59%
03/28/2023,8.51,8.46,8.51,8.44,3.96M,0.83%
03/27/2023,8.44,8.44,8.46,8.43,4.02M,0.12%
03/24/2023,8.43,8.5,8.5,8.43,3.95M,-0.71%
03/23/2023,8.49,8.51,8.53,8.45,4.24M,-0.70%
03/22/2023,8.55,8.4,8.55,8.4,5.99M,1.79%
03/21/2023,8.4,8.38,8.42,8.37,3.11M,0.72%
03/20/2023,8.34,8.39,8.4,8.33,4.90M,-0.48%
03/17/2023,8.38,8.29,8.43,8.29,14.84M,1.45%
03/16/2023,8.26,8.35,8.35,8.26,10.81M,-1.08%
03/15/2023,8.35,8.39,8.42,8.35,8.24M,0.12%
03/14/2023,8.34,8.44,8.45,8.34,12.18M,-1.18%
03/13/2023,8.44,8.45,8.48,8.36,11.28M,-2.99%
3/10/2023,8.7,8.71,8.75,8.7,7.52M,-0.11%
3/9/2023,8.71,8.69,8.72,8.69,12.48M,0.46%
3/8/2023,8.67,8.7,8.71,8.67,10.31M,-0.12%
3/7/2023,8.68,8.72,8.74,8.68,7.44M,-0.12%
3/6/2023,8.69,8.76,8.79,8.66,10.92M,-0.23%
3/3/2023,8.71,8.78,8.78,8.71,7.50M,-0.46%
3/2/2023,8.75,8.78,8.8,8.74,6.90M,-0.34%
3/1/2023,8.78,8.8,8.81,8.74,11.21M,-0.23%
02/28/2023,8.8,8.75,8.82,8.74,14.54M,0.57%
02/27/2023,8.75,8.75,8.78,8.7,9.39M,0.11%
02/24/2023,8.74,8.71,8.76,8.69,5.19M,0.58%
02/23/2023,8.69,8.68,8.72,8.66,5.10M,0.35%
02/22/2023,8.66,8.7,8.74,8.63,6.86M,-0.46%
02/21/2023,8.7,8.75,8.76,8.7,3.13M,-0.46%
02/20/2023,8.74,8.75,8.77,8.71,1.77M,-0.11%
02/17/2023,8.75,8.77,8.78,8.73,4.14M,-0.23%
02/16/2023,8.77,8.8,8.8,8.76,11.11M,-0.34%
02/15/2023,8.8,8.8,8.82,8.72,6.30M,0.00%
02/14/2023,8.8,8.75,8.82,8.75,10.81M,0.34%
02/13/2023,8.77,8.76,8.79,8.73,10.98M,0.23%
2/10/2023,8.75,8.63,8.76,8.63,3.72M,1.51%
2/9/2023,8.62,8.66,8.67,8.6,8.49M,-0.23%
2/8/2023,8.64,8.63,8.66,8.62,10.82M,0.12%
2/7/2023,8.63,8.65,8.69,8.6,14.62M,-0.92%
2/3/2023,8.71,8.72,8.74,8.68,10.22M,-0.11%
2/2/2023,8.72,8.85,8.85,8.71,8.62M,-0.23%
01/31/2023,8.74,8.75,8.76,8.73,18.93M,-0.46%
01/30/2023,8.78,8.75,8.78,8.75,10.11M,0.46%
01/27/2023,8.74,8.78,8.8,8.73,7.68M,-0.46%
01/26/2023,8.78,8.81,8.81,8.77,3.45M,-0.34%
01/25/2023,8.81,8.8,8.82,8.79,7.31M,0.11%
01/20/2023,8.8,8.8,8.82,8.78,9.47M,0.00%
01/19/2023,8.8,8.85,8.86,8.78,8.46M,-0.11%
01/18/2023,8.81,8.79,8.84,8.77,12.03M,0.34%
01/17/2023,8.78,8.78,8.83,8.76,10.04M,0.00%
01/16/2023,8.78,8.86,8.87,8.77,13.28M,-0.90%
01/13/2023,8.86,8.81,8.86,8.81,4.41M,0.68%
1/12/2023,8.8,8.84,8.85,8.8,8.25M,-0.34%
1/11/2023,8.83,8.79,8.85,8.77,9.46M,0.46%
1/10/2023,8.79,8.8,8.83,8.76,9.59M,-0.11%
1/9/2023,8.8,8.79,8.82,8.77,8.90M,0.34%
1/6/2023,8.77,8.78,8.79,8.73,2.34M,-0.11%
1/5/2023,8.78,8.72,8.78,8.71,5.00M,0.80%
1/4/2023,8.71,8.71,8.73,8.67,5.77M,0.00%
1/3/2023,8.71,8.67,8.72,8.64,2.95M,0.11%
